group,name,syllable,heading_mean,heading_std,heading_min,heading_max,angular_velocity_mean,angular_velocity_std,angular_velocity_min,angular_velocity_max,velocity_px_s_mean,velocity_px_s_std,velocity_px_s_min,velocity_px_s_max,frequency,duration
recall4 and sefl,r4_5_02DLC_resnet50_phi_cfc_boxNov7shuffle1_388000,2,0.5086773996026378,1.191607557033362,-1.617676589865858,2.8701013385970344,-3.126252248154641,2.617010413284179,-6.590269628816256,0.6858902198101807,110.97444112654455,77.47311382710403,5.085533312917663,299.0804477001058,0.09859154929577464,0.3714285714285714
recall4 and sefl,r4_5_02DLC_resnet50_phi_cfc_boxNov7shuffle1_388000,3,0.10919477209649861,0.8575553960284295,-1.9452805660510657,2.9632818018565676,0.6939708652066825,13.893688133794113,-4.881574440285961,184.5708720509228,39.35871651134906,36.649963083264254,0.5937074152449474,246.25728160842846,0.15492957746478872,1.0787878787878789
recall4 and sefl,r4_5_02DLC_resnet50_phi_cfc_boxNov7shuffle1_388000,4,0.06589252309255718,1.784192954892124,-3.1184476887861488,3.040885224557138,0.23895178102299358,20.837197264247422,-8.587525730767213,185.71790944192804,109.04123283257665,71.36627072389466,7.41363691383193,354.3587490203082,0.15492957746478872,0.9818181818181818
recall4 and sefl,r4_5_02DLC_resnet50_phi_cfc_boxNov7shuffle1_388000,5,0.020368229892443253,1.600208304073111,-2.30874962379941,2.483201524071263,-0.8844830350738303,1.6751056078054767,-8.555535948135006,2.269467754184016,70.4111734591639,64.50819338288518,3.3280328117116125,381.9107853482669,0.09859154929577464,1.561904761904762
recall4 and sefl,r4_5_02DLC_resnet50_phi_cfc_boxNov7shuffle1_388000,6,-0.9142877798956367,2.2716384208145133,-3.132117568951993,3.104530162669496,1.6938948669640148,26.845000103470344,-9.7761220300338,187.30143037482165,123.65739866115246,64.35477926186394,0.0,237.55063469860863,0.04225352112676056,1.1111111111111112
recall4 and sefl,r4_5_02DLC_resnet50_phi_cfc_boxNov7shuffle1_388000,7,0.8483599153919709,2.603603355159889,-3.09966777837586,3.0944918443285845,31.844691296658365,94.49036482151563,-49.457192113616024,184.1714227988439,84.50322565954444,61.84705325461656,11.581653285253898,179.76713501959847,0.028169014084507043,0.26666666666666666
recall4 and sefl,r4_5_02DLC_resnet50_phi_cfc_boxNov7shuffle1_388000,8,-0.05335245365090021,2.0798372474499986,-2.2989245584287596,3.011450023430456,-0.25202601637760874,1.303425758648914,-4.2074210950848645,1.8438075376758523,29.146800659300236,31.049189723788665,1.4845807656605208,170.3154246231001,0.04225352112676056,1.0666666666666667
recall4 and sefl,r4_5_02DLC_resnet50_phi_cfc_boxNov7shuffle1_388000,10,1.196260989271271,1.0362666191663592,0.052955245116117586,2.584993495424471,-0.08366878503986484,0.9818728140653276,-1.7125883158812227,3.565214679940105,31.239399615189804,28.50606029340052,2.2460494805143063,141.68229198506125,0.04225352112676056,2.088888888888889
recall4 and sefl,r4_5_02DLC_resnet50_phi_cfc_boxNov7shuffle1_388000,11,-0.7783368839155382,1.1139891168769804,-1.8163285580598558,1.6194585449691201,-0.18986852218245848,0.5868430567610801,-3.909377477058993,0.6452530849672322,23.74499509600824,15.248163847137297,1.4994926320321456,91.21919509321518,0.04225352112676056,2.9777777777777774
recall4 and sefl,r4_5_02DLC_resnet50_phi_cfc_boxNov7shuffle1_388000,15,0.21884529313198747,0.012829529590342082,0.20038318671459548,0.2396551268049482,-0.11006322769608227,0.46374675664774295,-1.4911861577635381,0.5081422948052718,15.657088896481048,8.350214819481144,5.115086141488201,30.343393961926072,0.014084507042253521,1.3333333333333333
