freezing,freezing_1s,freezing_1.5s,freezing_1_75s,cohort_id,id,day,condition,sex,cohort,reexposure_mins,duration,days_since_sefla
3.51,,,,5HT2Afl05a-5,5HT2Afl05a-5,sefla,control,male,ptsd1,NA,60,0
3.08,,,,5HT2Afl05a-7,5HT2Afl05a-7,sefla,control,male,ptsd1,NA,60,0
0.8,,,,5HT2ACre01a-3,5HT2ACre01a-3,sefla,control,male,ptsd1,NA,60,0
0.7,,,,sert26a-3,sert26a-3,sefla,control,male,ptsd1,NA,60,0
45.13,,,,5HT2Afl5a-6,5HT2Afl5a-6,sefla,ptsd,male,ptsd1,NA,60,0
38.13,,,,5HT2ACre01a-2,5HT2ACre01a-2,sefla,ptsd,male,ptsd1,NA,60,0
69.56,,,,sert26a-2,sert26a-2,sefla,ptsd,male,ptsd1,NA,60,0
59.66,,,,5HT2ACre01a-1,5HT2ACre01a-1,sefla,ptsd,male,ptsd1,NA,60,0
8.94,,,,5HT2Afl05a-5,5HT2Afl05a-5,seflb,control,male,ptsd1,NA,3,1
4.53,,,,5HT2Afl05a-7,5HT2Afl05a-7,seflb,control,male,ptsd1,NA,3,1
2.52,,,,5HT2ACre01a-3,5HT2ACre01a-3,seflb,control,male,ptsd1,NA,3,1
2.14,,,,sert26a-3,sert26a-3,seflb,control,male,ptsd1,NA,3,1
13.35,,,,5HT2Afl5a-6,5HT2Afl5a-6,seflb,ptsd,male,ptsd1,NA,3,1
9.45,,,,5HT2ACre01a-2,5HT2ACre01a-2,seflb,ptsd,male,ptsd1,NA,3,1
17.38,,,,sert26a-2,sert26a-2,seflb,ptsd,male,ptsd1,NA,3,1
11.34,,,,5HT2ACre01a-1,5HT2ACre01a-1,seflb,ptsd,male,ptsd1,NA,3,1
43.1,,,,5HT2Afl05a-5,5HT2Afl05a-5,recall1,control,male,ptsd1,0,5,2
35.53,,,,5HT2Afl05a-7,5HT2Afl05a-7,recall1,control,male,ptsd1,0,5,2
30.1,,,,5HT2ACre01a-3,5HT2ACre01a-3,recall1,control,male,ptsd1,0,5,2
44.88,,,,sert26a-3,sert26a-3,recall1,control,male,ptsd1,0,5,2
52.36,,,,5HT2Afl5a-6,5HT2Afl5a-6,recall1,ptsd,male,ptsd1,0,5,2
41.32,,,,5HT2ACre01a-2,5HT2ACre01a-2,recall1,ptsd,male,ptsd1,0,5,2
64.2,,,,sert26a-2,sert26a-2,recall1,ptsd,male,ptsd1,0,5,2
46.75,,,,5HT2ACre01a-1,5HT2ACre01a-1,recall1,ptsd,male,ptsd1,0,5,2
22.61,,,,5HT2Afl05a-5,5HT2Afl05a-5,recall2,control,male,ptsd1,5,5,4
23.94,,,,5HT2Afl05a-7,5HT2Afl05a-7,recall2,control,male,ptsd1,5,5,4
15.04,,,,5HT2ACre01a-3,5HT2ACre01a-3,recall2,control,male,ptsd1,5,5,4
39.54,,,,sert26a-3,sert26a-3,recall2,control,male,ptsd1,5,5,4
26.38,,,,5HT2Afl5a-6,5HT2Afl5a-6,recall2,ptsd,male,ptsd1,5,5,4
15.41,,,,5HT2ACre01a-2,5HT2ACre01a-2,recall2,ptsd,male,ptsd1,5,5,4
40.34,,,,sert26a-2,sert26a-2,recall2,ptsd,male,ptsd1,5,5,4
21.28,,,,5HT2ACre01a-1,5HT2ACre01a-1,recall2,ptsd,male,ptsd1,5,5,4
37.22,,,,5HT2Afl05a-5,5HT2Afl05a-5,recall3,control,male,ptsd1,10,5,6
36.42,,,,5HT2Afl05a-7,5HT2Afl05a-7,recall3,control,male,ptsd1,10,5,6
4.1,,,,5HT2ACre01a-3,5HT2ACre01a-3,recall3,control,male,ptsd1,10,5,6
43.19,,,,sert26a-3,sert26a-3,recall3,control,male,ptsd1,10,5,6
38.91,,,,5HT2Afl5a-6,5HT2Afl5a-6,recall3,ptsd,male,ptsd1,10,5,6
2.23,,,,5HT2ACre01a-2,5HT2ACre01a-2,recall3,ptsd,male,ptsd1,10,5,6
22.8,,,,sert26a-2,sert26a-2,recall3,ptsd,male,ptsd1,10,5,6
NA,,,,5HT2ACre01a-1,5HT2ACre01a-1,recall3,ptsd,male,ptsd1,10,5,6
26.09,,,,5HT2Afl05a-5,5HT2Afl05a-5,recall4,control,male,ptsd1,15,5,13
46.04,,,,5HT2Afl05a-7,5HT2Afl05a-7,recall4,control,male,ptsd1,15,5,13
4.99,,,,5HT2ACre01a-3,5HT2ACre01a-3,recall4,control,male,ptsd1,15,5,13
46.93,,,,sert26a-3,sert26a-3,recall4,control,male,ptsd1,15,5,13
32.5,,,,5HT2Afl5a-6,5HT2Afl5a-6,recall4,ptsd,male,ptsd1,15,5,13
7.03,,,,5HT2ACre01a-2,5HT2ACre01a-2,recall4,ptsd,male,ptsd1,15,5,13
34.55,,,,sert26a-2,sert26a-2,recall4,ptsd,male,ptsd1,15,5,13
NA,,,,5HT2ACre01a-1,5HT2ACre01a-1,recall4,ptsd,male,ptsd1,15,5,13
43.33,,,,5HT2Afl05a-5,5HT2Afl05a-5,recall5,control,male,ptsd1,20,5,27
47.32,,,,5HT2Afl05a-7,5HT2Afl05a-7,recall5,control,male,ptsd1,20,5,27
3.21,,,,5HT2ACre01a-3,5HT2ACre01a-3,recall5,control,male,ptsd1,20,5,27
7.85,,,,sert26a-3,sert26a-3,recall5,control,male,ptsd1,20,5,27
47.84,,,,5HT2Afl5a-6,5HT2Afl5a-6,recall5,ptsd,male,ptsd1,20,5,27
11.77,,,,5HT2ACre01a-2,5HT2ACre01a-2,recall5,ptsd,male,ptsd1,20,5,27
38.2,,,,sert26a-2,sert26a-2,recall5,ptsd,male,ptsd1,20,5,27
NA,,,,5HT2ACre01a-1,5HT2ACre01a-1,recall5,ptsd,male,ptsd1,20,5,27
10.814,,,,5HT2Afl05a-5,5HT2Afl05a-5,recall6,control,male,ptsd1,25,30,41
48.81533333,,,,5HT2Afl05a-7,5HT2Afl05a-7,recall6,control,male,ptsd1,25,30,41
1.04,,,,5HT2ACre01a-3,5HT2ACre01a-3,recall6,control,male,ptsd1,25,30,41
3.841666667,,,,sert26a-3,sert26a-3,recall6,control,male,ptsd1,25,30,41
48.28966667,,,,5HT2Afl5a-6,5HT2Afl5a-6,recall6,ptsd,male,ptsd1,25,30,41
5.771666667,,,,5HT2ACre01a-2,5HT2ACre01a-2,recall6,ptsd,male,ptsd1,25,30,41
41.39433333,,,,sert26a-2,sert26a-2,recall6,ptsd,male,ptsd1,25,30,41
NA,,,,5HT2ACre01a-1,5HT2ACre01a-1,recall6,ptsd,male,ptsd1,25,30,41
6.328,,,,5HT2Afl05a-5,5HT2Afl05a-5,recall7,control,male,ptsd1,55,5,48
37.08,,,,5HT2Afl05a-7,5HT2Afl05a-7,recall7,control,male,ptsd1,55,5,48
